GEOID20,county,r_drive_local,segments_reachable
120570022001,Hillsborough,0.088884,2407
120570023001,Hillsborough,0.088691,2393
120570023002,Hillsborough,0.088620,2390
120570023003,Hillsborough,0.088541,2383
120570024001,Hillsborough,0.088412,2391
120570024002,Hillsborough,0.088917,2411
120570024003,Hillsborough,0.088605,2394
120570024004,Hillsborough,0.088262,2387
120570025001,Hillsborough,0.088478,2395
120570025002,Hillsborough,0.088728,2412
120570025003,Hillsborough,0.088152,2365
120570025004,Hillsborough,0.088147,2372
120570026001,Hillsborough,0.088272,2360
120570026002,Hillsborough,0.087371,2342
120570027011,Hillsborough,0.087841,2368
120570027012,Hillsborough,0.087546,2360
120570027013,Hillsborough,0.087355,2364
120570027021,Hillsborough,0.087433,2365
120570027022,Hillsborough,0.087308,2370
120570028001,Hillsborough,0.088238,2374
120570028002,Hillsborough,0.087766,2354
120570028003,Hillsborough,0.087324,2348
120570028004,Hillsborough,0.087371,2352
120570029001,Hillsborough,0.088121,2374
120570029002,Hillsborough,0.087886,2369
120570029003,Hillsborough,0.087601,2359
120570030001,Hillsborough,0.088775,2399
120570030002,Hillsborough,0.088580,2391
120570030003,Hillsborough,0.087997,2377
120570031001,Hillsborough,0.088619,2389
120570031002,Hillsborough,0.088619,2376
120570031003,Hillsborough,0.088848,2347
120570031004,Hillsborough,0.088855,2352
120570032001,Hillsborough,0.088395,2377
120570032002,Hillsborough,0.088169,2378
120570032003,Hillsborough,0.088337,2367
120570033001,Hillsborough,0.088620,2355
120570033002,Hillsborough,0.088549,2334
120570033003,Hillsborough,0.088425,2334
120570034001,Hillsborough,0.088837,2339
120570034002,Hillsborough,0.089486,2336
120570034003,Hillsborough,0.089227,2327
120570035001,Hillsborough,0.088515,2329
120570035002,Hillsborough,0.088618,2326
120570035003,Hillsborough,0.088749,2319
120570035004,Hillsborough,0.089058,2306
120570036001,Hillsborough,0.089656,2302
120570036002,Hillsborough,0.090057,2322
120570036003,Hillsborough,0.089793,2299
120570036004,Hillsborough,0.089372,2309
120570037001,Hillsborough,0.090151,2250
120570038001,Hillsborough,0.089014,2314
120570041001,Hillsborough,0.087897,2370
120570041002,Hillsborough,0.087723,2353
120570042001,Hillsborough,0.087284,2347
120570043001,Hillsborough,0.086979,2338
120570043002,Hillsborough,0.086868,2348
120570043003,Hillsborough,0.086747,2344
120570044001,Hillsborough,0.087200,2361
120570044002,Hillsborough,0.086954,2351
120570044003,Hillsborough,0.086991,2361
120570045001,Hillsborough,0.087068,2340
120570045002,Hillsborough,0.087361,2364
120570045003,Hillsborough,0.087138,2358
120570045004,Hillsborough,0.087263,2351
120570045005,Hillsborough,0.087179,2361
120570046011,Hillsborough,0.087134,2362
120570046012,Hillsborough,0.087077,2365
120570046021,Hillsborough,0.086650,2343
120570047001,Hillsborough,0.086322,2367
120570047002,Hillsborough,0.086398,2352
120570047003,Hillsborough,0.086659,2362
120570048001,Hillsborough,0.086848,2362
120570048002,Hillsborough,0.086857,2351
120570048003,Hillsborough,0.086618,2349
120570048004,Hillsborough,0.086632,2339
120570048005,Hillsborough,0.086561,2347
120570048006,Hillsborough,0.086637,2348
120570049011,Hillsborough,0.086639,2349
120570049012,Hillsborough,0.086914,2361
120570049021,Hillsborough,0.086791,2337
120570049022,Hillsborough,0.086705,2331
120570049023,Hillsborough,0.086776,2339
120570050001,Hillsborough,0.086840,2345
120570050002,Hillsborough,0.087107,2346
120570050003,Hillsborough,0.087009,2339
120570051011,Hillsborough,0.087646,2353
120570051012,Hillsborough,0.087613,2337
120570051021,Hillsborough,0.087502,2293
120570051022,Hillsborough,0.087600,2312
120570051023,Hillsborough,0.087583,2312
120570053011,Hillsborough,0.087637,2312
120570053012,Hillsborough,0.088005,2333
120570053013,Hillsborough,0.087933,2324
120570053021,Hillsborough,0.089244,2254
120570053022,Hillsborough,0.089126,2274
120570054011,Hillsborough,0.086538,2188
120570054012,Hillsborough,0.086850,2238
120570054013,Hillsborough,0.086979,2256
120570054014,Hillsborough,0.087113,2292
120570054015,Hillsborough,0.087036,2276
120570054016,Hillsborough,0.087019,2262
120570055001,Hillsborough,0.087193,2333
120570055002,Hillsborough,0.087325,2329
120570055003,Hillsborough,0.086914,2327
120570057001,Hillsborough,0.086513,2348
120570057002,Hillsborough,0.086612,2349
120570057003,Hillsborough,0.086746,2346
120570057004,Hillsborough,0.086454,2348
120570058001,Hillsborough,0.086204,2337
120570058002,Hillsborough,0.086449,2356
120570058003,Hillsborough,0.085968,2330
120570058004,Hillsborough,0.085702,2312
120570058005,Hillsborough,0.085709,2300
120570059001,Hillsborough,0.086384,2325
120570059002,Hillsborough,0.086440,2354
120570059003,Hillsborough,0.085642,2308
120570059004,Hillsborough,0.085695,2297
120570059005,Hillsborough,0.085574,2257
120570059006,Hillsborough,0.085574,2277
120570060001,Hillsborough,0.086160,2328
120570060002,Hillsborough,0.086406,2326
120570060003,Hillsborough,0.086251,2325
120570060004,Hillsborough,0.085809,2309
120570060005,Hillsborough,0.086012,2304
120570060006,Hillsborough,0.086017,2304
120570060007,Hillsborough,0.085764,2306
120570061011,Hillsborough,0.086518,2324
120570061012,Hillsborough,0.086527,2313
120570061013,Hillsborough,0.086660,2304
120570061014,Hillsborough,0.086275,2300
120570061031,Hillsborough,0.086112,2299
120570061032,Hillsborough,0.086110,2297
120570061033,Hillsborough,0.085699,2286
120570061034,Hillsborough,0.085998,2289
120570062001,Hillsborough,0.085976,2315
120570062002,Hillsborough,0.086204,2314
120570062003,Hillsborough,0.085861,2303
120570062004,Hillsborough,0.085617,2284
120570063001,Hillsborough,0.085773,2293
120570063002,Hillsborough,0.085916,2312
120570063003,Hillsborough,0.085406,2261
120570063004,Hillsborough,0.085509,2281
120570064001,Hillsborough,0.085644,2277
120570064002,Hillsborough,0.085631,2266
120570064003,Hillsborough,0.085437,2263
120570064004,Hillsborough,0.085256,2252
120570065011,Hillsborough,0.084983,2227
120570065012,Hillsborough,0.085105,2226
120570065013,Hillsborough,0.085118,2224
120570065031,Hillsborough,0.084818,2205
120570065032,Hillsborough,0.084919,2216
120570065033,Hillsborough,0.085107,2233
120570065041,Hillsborough,0.084933,2218
120570065042,Hillsborough,0.085017,2218
120570066001,Hillsborough,0.085438,2244
120570066002,Hillsborough,0.085065,2217
120570066003,Hillsborough,0.085229,2233
120570067001,Hillsborough,0.085496,2269
120570067002,Hillsborough,0.085321,2247
120570067003,Hillsborough,0.085274,2247
120570067004,Hillsborough,0.085081,2210
120570067005,Hillsborough,0.085051,2219
120570067006,Hillsborough,0.085058,2220
120570068011,Hillsborough,0.085172,2223
120570068012,Hillsborough,0.085077,2207
120570068013,Hillsborough,0.085171,2220
120570068014,Hillsborough,0.085077,2184
120570068015,Hillsborough,0.085225,2205
120570068021,Hillsborough,0.085017,2176
120570068022,Hillsborough,0.084992,2184
120570068023,Hillsborough,0.084956,2177
120570069001,Hillsborough,0.084728,2129
120570069002,Hillsborough,0.084611,2124
120570069003,Hillsborough,0.084763,2158
120570069004,Hillsborough,0.085171,2184
120570069005,Hillsborough,0.084818,2158
120570069006,Hillsborough,0.084705,2147
120570070011,Hillsborough,0.085174,2209
120570070012,Hillsborough,0.085110,2200
120570070013,Hillsborough,0.085128,2186
120570070014,Hillsborough,0.084842,2163
120570070021,Hillsborough,0.084842,2144
120570070022,Hillsborough,0.084714,2134
120570070023,Hillsborough,0.084869,2148
120570071021,Hillsborough,0.084471,2141
120570071022,Hillsborough,0.084524,2164
120570071031,Hillsborough,0.084961,2203
120570071032,Hillsborough,0.084866,2191
120570071033,Hillsborough,0.084586,2152
120570072001,Hillsborough,0.084395,2137
120570072002,Hillsborough,0.083795,2012
120570072003,Hillsborough,0.084641,2130
120570073001,Hillsborough,0.082838,1754
120570073002,Hillsborough,0.083945,2016
120570073003,Hillsborough,0.083416,1856
120570101051,Hillsborough,0.094762,1690
120570101052,Hillsborough,0.094899,1592
120570101053,Hillsborough,0.093202,1673
120570101061,Hillsborough,0.095580,1584
120570101062,Hillsborough,0.098169,1535
120570101063,Hillsborough,0.093806,1618
120570101064,Hillsborough,0.095604,1638
120570101071,Hillsborough,0.100319,1318
120570101072,Hillsborough,0.097338,1557
120570101073,Hillsborough,0.095669,1498
120570101081,Hillsborough,0.106762,1246
120570101082,Hillsborough,0.096863,1361
120570102031,Hillsborough,0.092169,2271
120570102032,Hillsborough,0.092758,2142
120570102041,Hillsborough,0.091438,2248
120570102042,Hillsborough,0.091813,2143
120570102043,Hillsborough,0.091231,2165
120570102101,Hillsborough,0.093706,1630
120570102102,Hillsborough,0.092370,1625
120570102111,Hillsborough,0.091841,1750
120570102112,Hillsborough,0.091052,1750
120570102113,Hillsborough,0.090838,1756
120570102121,Hillsborough,0.092437,1673
120570102122,Hillsborough,0.092466,1677
120570102131,Hillsborough,0.091802,2010
120570102151,Hillsborough,0.095172,1646
120570102152,Hillsborough,0.097440,1582
120570102161,Hillsborough,0.094728,1901
120570102162,Hillsborough,0.094231,1787
120570102171,Hillsborough,0.092331,1765
120570102172,Hillsborough,0.092213,1729
120570102181,Hillsborough,0.092234,1753
120570102182,Hillsborough,0.093035,1837
120570102183,Hillsborough,0.092389,1926
120570102184,Hillsborough,0.093322,1929
120570103031,Hillsborough,0.093202,1931
120570103032,Hillsborough,0.093201,1957
120570103033,Hillsborough,0.092844,2009
120570103041,Hillsborough,0.091902,1888
120570103042,Hillsborough,0.092981,2037
120570103043,Hillsborough,0.094444,1745
120570103051,Hillsborough,0.092625,2031
120570103052,Hillsborough,0.091406,2071
120570103053,Hillsborough,0.089808,2127
120570104011,Hillsborough,0.090771,2245
120570104012,Hillsborough,0.090950,2262
120570104013,Hillsborough,0.091390,2195
120570104021,Hillsborough,0.090194,2306
120570104022,Hillsborough,0.090153,2315
120570104023,Hillsborough,0.090339,2297
120570104024,Hillsborough,0.091411,2239
120570105011,Hillsborough,0.090293,2274
120570105012,Hillsborough,0.090075,2284
120570105013,Hillsborough,0.089863,2307
120570105021,Hillsborough,0.090262,2294
120570105022,Hillsborough,0.090098,2312
120570106001,Hillsborough,0.090619,2324
120570106002,Hillsborough,0.090598,2267
120570106003,Hillsborough,0.090363,2184
120570107011,Hillsborough,0.091798,2103
120570107012,Hillsborough,0.091587,2199
120570107013,Hillsborough,0.090781,2237
120570107014,Hillsborough,0.091179,2282
120570107021,Hillsborough,0.090811,2323
120570107022,Hillsborough,0.090724,2218
120570108051,Hillsborough,0.090237,2466
120570108052,Hillsborough,0.090056,2460
120570108053,Hillsborough,0.090015,2451
120570108081,Hillsborough,0.089788,2406
120570108082,Hillsborough,0.089709,2377
120570108091,Hillsborough,0.090688,2267
120570108092,Hillsborough,0.091175,2299
120570108101,Hillsborough,0.091543,2150
120570108102,Hillsborough,0.091393,2144
120570108111,Hillsborough,0.090992,2269
120570108112,Hillsborough,0.091889,2249
120570108113,Hillsborough,0.090807,2217
120570108114,Hillsborough,0.091202,2234
120570108115,Hillsborough,0.091298,2212
120570108141,Hillsborough,0.089895,2390
120570108142,Hillsborough,0.089936,2395
120570108151,Hillsborough,0.089976,2433
120570108152,Hillsborough,0.089926,2418
120570108161,Hillsborough,0.089796,2410
120570108162,Hillsborough,0.089877,2395
120570108163,Hillsborough,0.089855,2423
120570108171,Hillsborough,0.090047,2399
120570108172,Hillsborough,0.089991,2415
120570108173,Hillsborough,0.090637,2469
120570108191,Hillsborough,0.089705,2337
120570108192,Hillsborough,0.089741,2326
120570108201,Hillsborough,0.089729,2380
120570108202,Hillsborough,0.089657,2368
120570108211,Hillsborough,0.089972,2433
120570108212,Hillsborough,0.090147,2435
120570108221,Hillsborough,0.090317,2451
120570108222,Hillsborough,0.090182,2436
120570108231,Hillsborough,0.089806,2344
120570108241,Hillsborough,0.089797,2376
120570108242,Hillsborough,0.089883,2336
120570108243,Hillsborough,0.090070,2338
120570109001,Hillsborough,0.090192,2277
120570110031,Hillsborough,0.089296,2281
120570110032,Hillsborough,0.090168,2416
120570110033,Hillsborough,0.090883,2487
120570110034,Hillsborough,0.090106,2415
120570110051,Hillsborough,0.093896,2035
120570110061,Hillsborough,0.092978,1941
120570110062,Hillsborough,0.091008,2159
120570110063,Hillsborough,0.090567,2185
120570110071,Hillsborough,0.092021,2316
120570110072,Hillsborough,0.091449,2369
120570110073,Hillsborough,0.090591,2335
120570110081,Hillsborough,0.089699,1858
120570110082,Hillsborough,0.090980,2139
120570110083,Hillsborough,0.090598,2159
120570110084,Hillsborough,0.088758,2166
120570110085,Hillsborough,0.089201,2178
120570110086,Hillsborough,0.089117,2291
120570110101,Hillsborough,0.088774,2240
120570110102,Hillsborough,0.089321,2328
120570110131,Hillsborough,0.091073,1916
120570110132,Hillsborough,0.090876,1976
120570110161,Hillsborough,0.089846,2094
120570110162,Hillsborough,0.088906,2114
120570110163,Hillsborough,0.088215,2116
120570110171,Hillsborough,0.091127,2073
120570110172,Hillsborough,0.087801,2042
120570110173,Hillsborough,0.085209,1544
120570110181,Hillsborough,0.088579,2236
120570110182,Hillsborough,0.089566,2307
120570110191,Hillsborough,0.091491,1754
120570110192,Hillsborough,0.093672,1931
120570110193,Hillsborough,0.094023,1866
120570111031,Hillsborough,0.094454,2304
120570111032,Hillsborough,0.095444,2280
120570111061,Hillsborough,0.092627,2397
120570111071,Hillsborough,0.090312,2342
120570111072,Hillsborough,0.091773,2397
120570111073,Hillsborough,0.090423,2317
120570111081,Hillsborough,0.091165,2448
120570111091,Hillsborough,0.092133,2318
120570111092,Hillsborough,0.091764,2273
120570112031,Hillsborough,0.090583,2427
120570112032,Hillsborough,0.090444,2454
120570112033,Hillsborough,0.090504,2443
120570112041,Hillsborough,0.090683,2416
120570112042,Hillsborough,0.090700,2445
120570112043,Hillsborough,0.090315,2449
120570112044,Hillsborough,0.090332,2435
120570112045,Hillsborough,0.090263,2445
120570112051,Hillsborough,0.090368,2435
120570112052,Hillsborough,0.090278,2438
120570112053,Hillsborough,0.090355,2441
120570112061,Hillsborough,0.090153,2463
120570112062,Hillsborough,0.090203,2466
120570112063,Hillsborough,0.090087,2458
120570113011,Hillsborough,0.090897,2459
120570113012,Hillsborough,0.090576,2441
120570113031,Hillsborough,0.090713,2456
120570113032,Hillsborough,0.090402,2435
120570113041,Hillsborough,0.089908,2411
120570113042,Hillsborough,0.090096,2416
120570113043,Hillsborough,0.090294,2424
120570114071,Hillsborough,0.091215,2462
120570114072,Hillsborough,0.091225,2453
120570114081,Hillsborough,0.090626,2420
120570114082,Hillsborough,0.090670,2426
120570114083,Hillsborough,0.090652,2448
120570114091,Hillsborough,0.090916,2441
120570114092,Hillsborough,0.090226,2456
120570114101,Hillsborough,0.091849,2159
120570114102,Hillsborough,0.092441,2382
120570114103,Hillsborough,0.091569,2348
120570114111,Hillsborough,0.091812,2446
120570114121,Hillsborough,0.091321,2422
120570114122,Hillsborough,0.090394,2311
120570114131,Hillsborough,0.091157,2392
120570114132,Hillsborough,0.091661,2441
120570114133,Hillsborough,0.091628,2454
120570114134,Hillsborough,0.090945,2403
120570114141,Hillsborough,0.090676,2343
120570114142,Hillsborough,0.090768,2373
120570114143,Hillsborough,0.090327,2358
120570114151,Hillsborough,0.090482,2371
120570114152,Hillsborough,0.090525,2399
120570114153,Hillsborough,0.090314,2419
120570114161,Hillsborough,0.090461,2415
120570114162,Hillsborough,0.090475,2413
120570114163,Hillsborough,0.090388,2419
120570114164,Hillsborough,0.090545,2441
120570114171,Hillsborough,0.092186,2436
120570114172,Hillsborough,0.090709,2440
120570114173,Hillsborough,0.090614,2441
120570114181,Hillsborough,0.091305,2422
120570114182,Hillsborough,0.092019,2460
120570114183,Hillsborough,0.091107,2419
120570115041,Hillsborough,0.098873,1705
120570115042,Hillsborough,0.093561,2016
120570115061,Hillsborough,0.090743,2229
120570115062,Hillsborough,0.090449,2232
120570115063,Hillsborough,0.090525,2141
120570115064,Hillsborough,0.090598,2043
120570115091,Hillsborough,0.094453,2198
120570115092,Hillsborough,0.098874,2235
120570115093,Hillsborough,0.099908,2161
120570115094,Hillsborough,0.100275,2
120570115101,Hillsborough,0.097662,2233
120570115102,Hillsborough,0.096371,2194
120570115121,Hillsborough,0.095777,2241
120570115122,Hillsborough,0.093764,2113
120570115123,Hillsborough,0.094501,2319
120570115141,Hillsborough,0.092896,2440
120570115142,Hillsborough,0.092320,2402
120570115143,Hillsborough,0.091667,2367
120570115144,Hillsborough,0.092918,2461
120570115151,Hillsborough,0.092419,2453
120570115152,Hillsborough,0.091598,2434
120570115161,Hillsborough,0.091283,2431
120570115162,Hillsborough,0.091545,2468
120570115181,Hillsborough,0.094677,1965
120570115182,Hillsborough,0.095246,1988
120570115183,Hillsborough,0.091337,2179
120570115191,Hillsborough,0.091233,2066
120570115192,Hillsborough,0.090025,2151
120570115201,Hillsborough,0.089813,2150
120570115202,Hillsborough,0.090342,2315
120570115211,Hillsborough,0.094031,2120
120570115212,Hillsborough,0.095872,2331
120570115213,Hillsborough,0.094186,2163
120570115221,Hillsborough,0.095456,2190
120570115222,Hillsborough,0.094232,2334
120570115223,Hillsborough,0.094307,2341
120570115231,Hillsborough,0.094132,2244
120570115241,Hillsborough,0.091755,2397
120570115242,Hillsborough,0.091096,2290
120570115243,Hillsborough,0.091787,2374
120570115244,Hillsborough,0.091790,2434
120570115251,Hillsborough,0.091449,2180
120570115252,Hillsborough,0.090104,2281
120570115253,Hillsborough,0.089765,2203
120570115261,Hillsborough,0.090394,2256
120570115262,Hillsborough,0.090580,2340
120570115271,Hillsborough,0.096413,1928
120570115272,Hillsborough,0.092665,2030
120570115281,Hillsborough,0.091344,2095
120570115282,Hillsborough,0.091294,2085
120570115283,Hillsborough,0.090913,2116
120570116031,Hillsborough,0.089787,2358
120570116032,Hillsborough,0.089495,2329
120570116033,Hillsborough,0.089810,2372
120570116051,Hillsborough,0.088879,2304
120570116052,Hillsborough,0.088748,2327
120570116053,Hillsborough,0.089385,2358
120570116054,Hillsborough,0.088855,2330
120570116055,Hillsborough,0.088933,2323
120570116101,Hillsborough,0.089846,2298
120570116102,Hillsborough,0.090131,2320
120570116103,Hillsborough,0.089881,2324
120570116104,Hillsborough,0.089460,2271
120570116111,Hillsborough,0.090078,2386
120570116112,Hillsborough,0.089697,2367
120570116113,Hillsborough,0.090152,2375
120570116121,Hillsborough,0.088985,2270
120570116122,Hillsborough,0.089281,2275
120570116123,Hillsborough,0.089557,2330
120570116124,Hillsborough,0.089812,2340
120570116131,Hillsborough,0.088930,2299
120570116132,Hillsborough,0.088581,2277
120570116133,Hillsborough,0.088620,2283
120570116134,Hillsborough,0.088724,2314
120570116141,Hillsborough,0.089245,2251
120570116142,Hillsborough,0.089008,2271
120570116143,Hillsborough,0.088424,2241
120570116144,Hillsborough,0.088975,2250
120570116151,Hillsborough,0.088580,2245
120570116152,Hillsborough,0.088700,2285
120570116153,Hillsborough,0.088360,2263
120570116154,Hillsborough,0.088670,2263
120570116161,Hillsborough,0.088881,2135
120570116162,Hillsborough,0.089216,2187
120570116163,Hillsborough,0.090003,2301
120570116164,Hillsborough,0.089077,2167
120570116165,Hillsborough,0.089645,2265
120570116171,Hillsborough,0.089522,2232
120570116172,Hillsborough,0.088577,2241
120570116173,Hillsborough,0.088583,2271
120570117081,Hillsborough,0.087938,2338
120570117082,Hillsborough,0.087503,2337
120570117083,Hillsborough,0.087599,2277
120570117121,Hillsborough,0.088442,2304
120570117122,Hillsborough,0.087464,2257
120570117123,Hillsborough,0.088174,2275
120570117124,Hillsborough,0.087556,2260
120570117131,Hillsborough,0.088240,2211
120570117132,Hillsborough,0.088744,2210
120570117133,Hillsborough,0.088461,2228
120570117134,Hillsborough,0.088363,2228
120570117141,Hillsborough,0.088195,2226
120570117151,Hillsborough,0.088038,2302
120570117152,Hillsborough,0.088079,2307
120570117161,Hillsborough,0.088568,2315
120570117162,Hillsborough,0.088727,2348
120570117163,Hillsborough,0.088192,2334
120570118021,Hillsborough,0.088962,2400
120570118022,Hillsborough,0.089153,2416
120570118023,Hillsborough,0.089211,2373
120570118024,Hillsborough,0.089542,2399
120570118041,Hillsborough,0.089949,2414
120570118042,Hillsborough,0.089542,2410
120570118043,Hillsborough,0.089345,2423
120570118044,Hillsborough,0.089792,2382
120570118051,Hillsborough,0.089594,2388
120570118052,Hillsborough,0.089867,2382
120570118053,Hillsborough,0.089991,2412
120570118061,Hillsborough,0.090082,2441
120570118062,Hillsborough,0.090065,2407
120570118063,Hillsborough,0.089995,2422
120570119051,Hillsborough,0.088818,2409
120570119071,Hillsborough,0.090053,2451
120570119072,Hillsborough,0.090110,2433
120570119081,Hillsborough,0.090223,2451
120570119082,Hillsborough,0.089997,2441
120570119091,Hillsborough,0.089978,2441
120570119092,Hillsborough,0.089756,2437
120570119093,Hillsborough,0.089238,2421
120570119101,Hillsborough,0.089448,2436
120570119102,Hillsborough,0.089455,2417
120570119103,Hillsborough,0.089263,2415
120570119111,Hillsborough,0.089063,2417
120570119112,Hillsborough,0.088990,2410
120570119113,Hillsborough,0.088709,2398
120570120011,Hillsborough,0.090234,2277
120570120012,Hillsborough,0.090015,2316
120570120021,Hillsborough,0.090485,2252
120570120022,Hillsborough,0.091068,2260
120570120023,Hillsborough,0.090810,2281
120570121031,Hillsborough,0.091452,2286
120570121032,Hillsborough,0.090975,2272
120570121033,Hillsborough,0.091203,2248
120570121061,Hillsborough,0.092093,2008
120570121062,Hillsborough,0.091679,2003
120570121063,Hillsborough,0.091867,1846
120570121071,Hillsborough,0.091604,2191
120570121072,Hillsborough,0.092445,2060
120570121073,Hillsborough,0.092425,2133
120570121081,Hillsborough,0.092486,1992
120570121082,Hillsborough,0.091491,2064
120570121091,Hillsborough,0.091701,2223
120570121092,Hillsborough,0.091940,2223
120570121101,Hillsborough,0.092157,2116
120570121102,Hillsborough,0.092090,2192
120570122061,Hillsborough,0.092093,2105
120570122062,Hillsborough,0.092684,2013
120570122063,Hillsborough,0.092761,1959
120570122064,Hillsborough,0.092626,1956
120570122071,Hillsborough,0.092676,1986
120570122072,Hillsborough,0.092388,1916
120570122073,Hillsborough,0.092741,1880
120570122074,Hillsborough,0.092674,1916
120570122075,Hillsborough,0.093154,1856
120570122081,Hillsborough,0.092738,1746
120570122082,Hillsborough,0.093166,1787
120570122083,Hillsborough,0.093059,1726
120570122091,Hillsborough,0.092650,1758
120570122092,Hillsborough,0.093992,1505
120570122101,Hillsborough,0.094218,1747
120570122102,Hillsborough,0.094043,1762
120570122111,Hillsborough,0.091862,2130
120570122121,Hillsborough,0.093056,2134
120570122122,Hillsborough,0.093220,2107
120570122131,Hillsborough,0.091945,2178
120570122132,Hillsborough,0.092642,1996
120570123011,Hillsborough,0.093272,1997
120570123012,Hillsborough,0.093506,1887
120570123013,Hillsborough,0.093934,2021
120570123014,Hillsborough,0.093578,2108
120570123031,Hillsborough,0.093680,1914
120570123032,Hillsborough,0.094016,1954
120570123033,Hillsborough,0.094103,1963
120570123041,Hillsborough,0.093893,1877
120570123042,Hillsborough,0.093952,1867
120570123043,Hillsborough,0.094082,1825
120570124011,Hillsborough,0.092041,1815
120570124012,Hillsborough,0.091877,1795
120570124013,Hillsborough,0.093756,1669
120570124014,Hillsborough,0.093219,1744
120570124021,Hillsborough,0.093080,1722
120570124022,Hillsborough,0.094457,1587
120570124031,Hillsborough,0.095948,1542
120570124032,Hillsborough,0.097399,1432
120570124033,Hillsborough,0.097918,1436
120570125011,Hillsborough,0.093085,1729
120570125012,Hillsborough,0.097189,1427
120570125013,Hillsborough,0.094744,1606
120570125031,Hillsborough,0.097092,1406
120570125032,Hillsborough,0.096207,1528
120570125033,Hillsborough,0.097893,1403
120570125041,Hillsborough,0.097624,1419
120570126001,Hillsborough,0.095940,1533
120570126002,Hillsborough,0.095627,1595
120570126003,Hillsborough,0.095920,1518
120570126004,Hillsborough,0.096315,1493
120570127011,Hillsborough,0.094541,1731
120570127012,Hillsborough,0.094830,1668
120570127013,Hillsborough,0.093482,1648
120570127014,Hillsborough,0.094181,1648
120570127021,Hillsborough,0.096020,1623
120570127022,Hillsborough,0.095856,1568
120570127023,Hillsborough,0.095495,1611
120570128001,Hillsborough,0.095453,1556
