roadway,begin_post,end_post,facility,match_m,class_is_a_guess
10020000,1.608,2.336,collector,133,no
10260000,4.597,5.868,principal arterial,213,no
14000003,1.004,2.973,collector,159,no
10060000,23.547,24.36,principal arterial,468,no
10000377,0.0,2.147,minor arterial,125,no
10040000,4.173,4.996,principal arterial,135,no
10020101,0.788,1.546,collector,95,no
14700000,0.0,5.277,collector,310,no
08100000,5.64,10.945,minor arterial,56,no
10070000,2.02,4.051,principal arterial,14,no
10520000,0.0,2.782,minor arterial,17,no
14000022,0.0,1.215,principal arterial,55,no
14070000,0.0,5.35,collector,1466,yes
10060000,24.36,25.556,principal arterial,18,no
10516000,0.0,4.07,collector,107,no
02010000,5.994,11.052,principal arterial,318,no
10075011,0.0,0.243,freeway,86,no
10030000,6.977,9.284,principal arterial,318,no
02540000,2.206,18.686,minor arterial,1490,yes
10310000,3.32,4.339,principal arterial,31,no
08100000,0.0,5.64,minor arterial,1250,yes
10000006,1.455,2.502,minor arterial,39,no
10290000,0.505,2.036,principal arterial,13,no
10519000,0.0,4.32,collector,212,no
15110502,0.0,2.509,collector,117,no
10030002,1.127,1.41,freeway,8,no
10030000,4.057,4.772,principal arterial,14,no
14050000,5.834,6.354,minor arterial,43,no
10000102,0.0,4.05,collector,249,no
10000017,0.0,4.058,minor arterial,899,yes
15000023,0.0,1.462,collector,302,no
10040000,2.155,3.165,principal arterial,14,no
08000021,0.0,3.866,collector,285,no
15010000,15.544,16.559,principal arterial,21,no
08010000,11.328,12.089,principal arterial,227,no
15530500,0.0,2.195,collector,13,no
10030000,9.284,12.827,principal arterial,102,no
15020001,0.0,1.002,minor arterial,99,no
10000014,1.542,2.126,principal arterial,148,no
02620000,0.0,9.187,collector,1813,yes
14091000,7.493,10.613,principal arterial,73,no
14000018,0.0,3.37,collector,215,no
10150000,6.019,7.028,principal arterial,24,no
10650000,0.0,1.132,minor arterial,68,no
08010000,14.304,16.581,minor arterial,798,yes
10020000,7.378,8.388,principal arterial,126,no
15150000,5.876,7.897,freeway,7,no
08010000,0.0,1.386,principal arterial,136,no
10010000,21.096,21.905,principal arterial,42,no
02510000,0.052,5.42,collector,656,yes
14050000,4.936,5.74,principal arterial,80,no
15020000,2.59,3.206,minor arterial,322,no
14010000,0.012,1.427,principal arterial,95,no
14090000,16.075,18.817,principal arterial,145,no
15600000,0.0,1.084,minor arterial,109,no
10000210,0.0,4.81,collector,127,no
15150000,7.897,8.843,freeway,8,no
15540500,0.0,4.273,minor arterial,18,no
10000082,0.0,0.949,minor arterial,141,no
15150000,2.879,4.874,freeway,9,no
02010005,0.0,0.207,freeway,70,no
10030000,12.827,14.641,principal arterial,203,no
10020000,6.365,7.378,principal arterial,21,no
10110000,1.2,2.101,principal arterial,71,no
10270000,2.874,3.381,principal arterial,9,no
08030000,0.0,2.082,principal arterial,618,yes
14050000,11.637,13.476,principal arterial,14,no
08010000,3.642,4.498,principal arterial,170,no
15030018,0.0,0.583,principal arterial,30,no
10270118,0.0,0.265,freeway,34,no
14620000,0.67,4.059,minor arterial,456,no
14520000,2.366,9.674,collector,88,no
15000141,0.0,2.569,collector,205,no
14680000,0.0,0.794,principal arterial,75,no
10000368,0.025,1.393,collector,10,no
10823000,0.0,4.063,minor arterial,149,no
10000644,0.0,3.642,collector,65,no
08000035,0.0,4.224,collector,441,no
14000044,0.0,2.512,collector,124,no
02050000,21.762,24.33,freeway,196,no
02010000,13.177,14.041,principal arterial,59,no
15120000,9.851,10.169,principal arterial,64,no
10505000,0.0,1.353,minor arterial,141,no
15060000,2.073,4.873,minor arterial,19,no
10310000,2.817,2.998,principal arterial,16,no
10000054,0.0,0.217,collector,37,no
10000078,0.0,1.707,collector,48,no
14712000,0.0,2.755,collector,113,no
15000299,0.0,1.917,collector,56,no
10010000,0.0,5.691,collector,555,yes
10720500,0.0,0.694,principal arterial,16,no
15010000,1.1,1.755,principal arterial,2,no
10160000,1.035,2.045,principal arterial,9,no
10010000,5.691,11.171,principal arterial,344,no
14570000,10.444,11.345,principal arterial,211,no
14000037,0.0,1.472,collector,245,no
10110000,2.101,4.099,principal arterial,7,no
10270000,1.608,2.234,principal arterial,27,no
02010000,12.215,12.502,freeway,17,no
10090000,11.362,12.409,minor arterial,118,no
14030000,4.176,4.658,freeway,18,no
15090000,0.0,0.895,principal arterial,56,no
10000031,0.0,11.188,collector,22,no
14050000,6.862,9.103,collector,29,no
14570000,3.344,4.344,collector,128,no
15000099,0.0,2.501,collector,119,no
15000120,0.0,6.674,collector,277,no
10060000,17.212,19.267,principal arterial,56,no
10020000,0.0,0.385,principal arterial,2,no
15020000,5.465,5.909,minor arterial,43,no
14030000,4.658,7.71,freeway,227,no
10075325,0.0,0.511,freeway,62,no
10030000,2.267,3.522,principal arterial,27,no
10000273,0.0,0.505,minor arterial,20,no
08540000,1.783,3.931,minor arterial,67,no
10040000,8.207,8.979,principal arterial,12,no
10506000,0.0,3.03,minor arterial,42,no
14000161,0.0,1.525,collector,17,no
10160000,2.045,2.969,principal arterial,4,no
15061000,4.95,5.947,principal arterial,26,no
10250000,0.0,1.153,minor arterial,25,no
08000009,0.0,9.593,minor arterial,949,yes
08040500,3.132,6.529,collector,503,yes
10000214,0.0,0.502,collector,19,no
10075323,2.631,3.114,freeway,56,no
15040000,1.913,3.441,minor arterial,18,no
08000028,0.0,2.102,minor arterial,174,no
15007000,2.283,3.041,principal arterial,18,no
15120000,8.114,8.495,principal arterial,57,no
15120000,6.053,7.209,principal arterial,42,no
02030000,15.09,20.742,freeway,174,no
15000210,0.0,6.022,principal arterial,41,no
10002000,0.085,0.302,freeway,14,no
15100000,1.763,2.202,principal arterial,118,no
10200000,0.0,1.242,minor arterial,199,no
15230000,3.26,5.392,principal arterial,30,no
10000220,0.0,5.973,collector,126,no
15502000,0.0,2.347,minor arterial,234,no
10020000,4.068,5.169,principal arterial,24,no
08000007,0.0,1.95,collector,345,no
10000056,0.366,3.618,collector,213,no
15010000,9.588,9.81,principal arterial,28,no
10030000,14.641,16.407,principal arterial,87,no
14090000,18.817,19.334,principal arterial,56,no
02560000,0.0,7.793,minor arterial,854,yes
08610000,0.0,7.261,collector,1347,yes
15150000,27.662,29.68,freeway,24,no
10537000,0.0,3.959,collector,309,no
10000117,0.0,1.0,collector,51,no
15010000,14.034,15.544,principal arterial,30,no
15000209,0.0,1.111,collector,134,no
10080000,4.613,5.238,principal arterial,34,no
02000020,0.0,7.147,collector,911,yes
14000081,1.875,7.418,minor arterial,390,no
10060000,7.603,9.184,principal arterial,50,no
14530000,0.0,6.726,collector,1205,yes
08010000,1.386,3.642,principal arterial,543,yes
15010000,10.191,11.247,principal arterial,11,no
10000026,0.0,1.544,collector,48,no
10075318,0.0,0.887,freeway,24,no
10000045,1.126,2.405,collector,137,no
15110501,0.0,2.0,minor arterial,361,no
10120000,8.475,17.792,minor arterial,427,no
15120000,8.495,9.851,principal arterial,21,no
10120000,6.07,8.475,minor arterial,69,no
15030000,3.557,4.534,principal arterial,24,no
02550000,0.0,3.47,collector,570,yes
14000073,0.0,1.26,collector,37,no
15010000,4.638,5.948,principal arterial,35,no
14050000,0.0,3.067,principal arterial,135,no
10020000,8.388,9.682,principal arterial,329,no
15000121,0.0,1.922,minor arterial,86,no
15090000,4.403,6.857,principal arterial,29,no
