roadway,county,begin_post,end_post,length_mi,aadt,description,crashes,deaths,serious,ped_deaths,occ_deaths,occ_serious,vmt_period,deaths_per_100M_vmt,crashes_per_100M_vmt
10040000,Hillsborough,5.692,6.191,0.499,21000,E BUSCH BLVD,516,2,9,1,0,3,26391361,7.578,1955.2
10000619,Hillsborough,0.339,0.591,0.252,20800,10190446 EB OFF,247,1,6,0,1,6,13200970,7.575,1871.1
15000117,Pinellas,0.0,4.607,4.607,5700,PARK ST N,673,5,18,2,1,6,66135558,7.56,1017.6
10040000,Hillsborough,8.979,9.493,0.514,20500,SKIPPER RD,80,2,1,0,2,0,26537435,7.537,301.5
14090000,Pasco,21.704,22.458,0.754,14000,SR39/US301/GALL BLVD,150,2,6,0,1,0,26585286,7.523,564.2
08030000,Hernando,2.082,6.667,4.585,7000,SR-50/CORTEZ BLVD,85,6,26,1,4,20,80831258,7.423,105.2
10010000,Hillsborough,15.693,16.289,0.596,45000,BOYETTE RD,441,5,13,1,2,8,67546170,7.402,652.9
10020000,Hillsborough,2.336,2.961,0.625,8600,SR-574/DR MLK JR BLV,100,1,1,0,0,1,13536938,7.387,738.7
10000125,Hillsborough,0.0,4.046,4.046,4000,N FLORIDA AVE/US-41B,384,3,11,1,1,8,40759404,7.36,942.1
14000023,Pasco,0.325,1.426,1.101,4900,N/A,26,1,5,0,0,4,13587056,7.36,191.4
14050000,Pasco,3.067,3.764,0.697,15600,CHANCEY RD,146,2,17,1,1,14,27384154,7.303,533.2
10040000,Hillsborough,0.837,1.149,0.312,17500,E PALM AVE,102,1,3,1,0,1,13751010,7.272,741.8
15010101,Pinellas,0.76,1.216,0.456,12000,8 ST N,160,1,3,0,1,2,13781232,7.256,1161.0
15010000,Pinellas,13.518,14.034,0.516,32000,CR-296/102 AVE N,221,3,8,1,1,5,41585472,7.214,531.4
10821500,Hillsborough,0.66,1.748,1.088,35500,ROSEWOOD CENTER ENTR,286,7,5,2,3,3,97274544,7.196,294.0
10514000,Hillsborough,0.0,0.828,0.828,6700,JAMES L REDMAN PKWY,33,1,0,1,0,0,13971631,7.157,236.2
10210502,Hillsborough,0.0,7.249,7.249,4600,SR-583/N 56 ST,498,6,14,2,3,10,83980390,7.145,593.0
14050000,Pasco,16.633,19.479,2.846,21500,PAYNE RD,165,11,32,3,7,29,154104496,7.138,107.1
10090000,Hillsborough,14.111,14.61,0.499,11200,N WOODROW WILSON ST,117,1,2,0,1,2,14075393,7.105,831.2
14000105,Pasco,2.174,3.038,0.864,6500,OAKELLER DR,23,1,1,0,0,1,14143896,7.07,162.6
10040000,Hillsborough,6.191,7.199,1.008,22500,E LINEBAUGH AVE,419,4,10,2,1,2,57119580,7.003,733.5
10200000,Hillsborough,1.242,1.847,0.605,9400,10190400 FRNT RD,37,1,0,0,0,0,14322710,6.982,258.3
14570000,Pasco,2.72,3.109,0.389,44000,CR-77/SEVEN SPRINGS,211,3,21,1,2,17,43106646,6.959,489.5
10090000,Hillsborough,7.738,11.362,3.624,14200,MCINTOSH RD,311,9,19,4,2,13,129604025,6.944,240.0
10290000,Hillsborough,0.0,0.255,0.255,22500,N FLORIDA AVE,170,1,1,1,0,0,14449894,6.92,1176.5
10501000,Hillsborough,0.0,2.031,2.031,17000,SR-676 / CAUSEWAY BL,400,6,17,1,3,12,86956250,6.9,460.0
15000039,Pinellas,0.0,2.419,2.419,2400,EDGEWATER DR,95,1,1,0,0,0,14621404,6.839,649.7
08070000,Hernando,7.026,8.543,1.517,11500,US-98 / SR-700,58,3,8,0,3,5,43936492,6.828,132.0
10000144,Hillsborough,0.0,2.353,2.353,5000,LITHIA-PINECREST RD,210,2,6,1,0,2,29630153,6.75,708.7
08630000,Hernando,0.0,6.824,6.824,2600,SR-50/CORTEZ BLVD,128,3,14,0,2,11,44684234,6.714,286.5
10000035,Hillsborough,0.0,2.192,2.192,2700,CR587/WESTSHORE BLVD,115,1,2,0,0,2,14905490,6.709,771.5
15000146,Pinellas,0.0,5.772,5.772,3100,26 AVE S,910,3,35,0,2,20,45064024,6.657,2019.3
02000003,Citrus,0.0,5.379,5.379,6700,US-19/SUNCOAST BLVD,176,6,24,2,3,16,90764977,6.61,193.9
15090500,Pinellas,0.0,3.386,3.386,8900,54 AVE S,459,5,23,3,1,13,75896005,6.588,604.8
10250001,Hillsborough,0.203,1.315,1.112,43500,S 22 ST,318,8,3,1,3,0,121824882,6.567,261.0
15000204,Pinellas,0.0,2.566,2.566,7100,0.180M SOUTH OF GRAN,131,3,7,2,0,4,45883544,6.538,285.5
15040000,Pinellas,3.441,4.44,0.999,55000,CR-501/S BELCHER RD,927,9,20,6,1,13,138378983,6.504,669.9
10310000,Hillsborough,5.858,6.863,1.005,36500,N/A,717,6,26,4,1,18,92384876,6.495,776.1
10030000,Hillsborough,18.061,19.174,1.113,11000,ENTERPRISE ST,214,2,7,2,0,4,30833995,6.486,694.0
10075069,Hillsborough,0.08,1.782,1.702,3600,END C&G RIGHT SIDE,1,1,0,0,0,0,15431353,6.48,6.5
02000010,Citrus,2.681,5.118,2.437,5100,W 7 RIVERS DR,37,2,2,0,2,0,31301681,6.389,118.2
10190071,Hillsborough,0.0,0.312,0.312,20000,I-275/SR-93 SB,17,1,0,0,0,0,15715440,6.363,108.2
02600000,Citrus,0.0,2.502,2.502,2500,S FLORIDA AVE,37,1,2,0,1,0,15753217,6.348,234.9
08550000,Hernando,0.0,3.385,3.385,7400,US-41/SR-45/BROAD ST,151,4,11,0,3,11,63085906,6.341,239.4
02040000,Citrus,0.137,5.44,5.303,9500,SR200/CARL G ROSE HW,182,8,18,3,3,11,126878252,6.305,143.4
08020000,Hernando,4.76,6.445,1.685,41500,FOREST OAKS BLVD,637,11,48,3,5,41,176112409,6.246,361.7
10150000,Hillsborough,8.412,9.484,1.072,65500,AIR CARGO RD,848,11,11,6,3,2,176838996,6.22,479.5
15000026,Pinellas,0.0,1.6,1.6,4000,BAYSHORE BLVD,41,1,0,0,0,0,16118400,6.204,254.4
14120000,Pasco,0.0,2.012,2.012,25500,US-19/SR-55,541,8,64,0,7,47,129214161,6.191,418.7
15501500,Pinellas,0.0,1.932,1.932,6700,EDGEWATER DR,208,2,10,1,0,5,32600471,6.135,638.0
10020000,Hillsborough,1.608,2.336,0.728,8900,E FLORIBRASKA AVE,190,1,3,1,0,2,16317865,6.128,1164.4
10260000,Hillsborough,4.597,5.868,1.271,25500,SR-582/E FOWLER AVE,133,5,5,1,3,4,81625844,6.126,162.9
14000003,Pasco,1.004,2.973,1.969,3300,PRETTY POND RD,78,1,10,0,1,8,16364457,6.111,476.6
10060000,Hillsborough,23.547,24.36,0.813,32000,CAUSEWAY BLVD,303,4,7,1,2,6,65521296,6.105,462.4
10000377,Hillsborough,0.0,2.147,2.147,6100,E COLUMBUS DR,259,2,4,1,1,3,32984039,6.064,785.2
10040000,Hillsborough,4.173,4.996,0.823,24000,E SLIGH AVE,405,3,11,2,1,7,49745412,6.031,814.1
10020101,Hillsborough,0.788,1.546,0.758,8700,SR-574/W DR MLK JR B,115,1,3,0,1,2,16608500,6.021,692.4
14700000,Pasco,0.0,5.277,5.277,1250,BELLAMY BROS RD,23,1,5,0,1,4,16612656,6.02,138.4
08100000,Hernando,5.64,10.945,5.305,5000,US-41/SR-45/BROAD ST,61,4,7,0,2,4,66803213,5.988,91.3
10070000,Hillsborough,2.02,4.051,2.031,23000,E TRAPNELL RD,588,7,6,1,4,3,117646690,5.95,499.8
10520000,Hillsborough,0.0,2.782,2.782,36000,FLORIDA AVE,1643,15,27,5,3,19,252232812,5.947,651.4
14000022,Pasco,0.0,1.215,1.215,5500,US-301/SR-35,163,1,5,0,0,2,16829876,5.942,968.5
14070000,Pasco,0.0,5.35,5.35,7600,CR-54 / POLK CO LINE,79,6,15,0,6,15,102402210,5.859,77.1
10060000,Hillsborough,24.36,25.556,1.196,34000,BRISTOL BAY WAY,716,6,21,3,1,15,102412284,5.859,699.1
10516000,Hillsborough,0.0,4.07,4.07,10000,SR-60/ADAMO DR,606,6,19,4,2,10,102502950,5.853,591.2
02010000,Citrus,5.994,11.052,5.058,12100,CR 48/E ORANGE AVE,256,9,25,1,5,18,154136733,5.839,166.1
10075011,Hillsborough,0.0,0.243,0.243,28500,I-75/SR-93A SB,28,1,0,0,1,0,17441872,5.733,160.5
10030000,Hillsborough,6.977,9.284,2.307,15100,N/A,555,5,21,2,2,14,87733710,5.699,632.6
02540000,Citrus,2.206,18.686,16.48,3400,GREENTREE,143,8,15,0,7,10,141116592,5.669,101.3
10310000,Hillsborough,3.32,4.339,1.019,41500,N/A,641,6,22,4,2,8,106503587,5.634,601.9
08100000,Hernando,0.0,5.64,5.64,2500,US-98/PONCE DE LEON,90,2,5,0,1,2,35510850,5.632,253.4
10000006,Hillsborough,1.455,2.502,1.047,13600,MANILA PALM WAY,123,2,10,0,2,10,35861425,5.577,343.0
10290000,Hillsborough,0.505,2.036,1.531,55915,US-41/SR-45/N NEBRAS,1631,12,27,5,1,10,215598371,5.566,756.5
10519000,Hillsborough,0.0,4.32,4.32,14900,S US-41 HWY,1230,9,88,3,2,69,162110808,5.552,758.7
15110502,Pinellas,0.0,2.509,2.509,8600,34 ST S,550,3,13,1,1,9,54342682,5.521,1012.1
10030002,Hillsborough,1.127,1.41,0.283,25500,N/A,138,1,2,0,1,0,18174755,5.502,759.3
