GEOID20,county,TotPop,AutoOwn0,HH_est,zero_car_share,no_transit,transit_share,A_drive,A_transit
120530410063,Hernando,2555,42,775,0.05419354838709677,False,0.1228998314051508,15087,2114.0
120530411031,Hernando,2255,53,844,0.06279620853080568,False,0.0850883935434281,11903,1107.0
120530411032,Hernando,2313,70,947,0.07391763463569166,False,0.1835527190533173,12281,2761.0
120530411041,Hernando,1225,30,488,0.06147540983606557,False,0.1535456531814871,12784,2319.0
120530411042,Hernando,1742,6,567,0.010582010582010581,False,0.0515353396125277,12386,673.0
120530411051,Hernando,1566,87,659,0.13201820940819423,False,0.1581050899259433,14324,2690.0
120530411052,Hernando,1463,57,475,0.12,False,0.2091055318553745,11309,2990.0
120530411053,Hernando,1843,20,669,0.029895366218236172,False,0.0135295866785608,13270,182.0
120530411061,Hernando,1923,18,684,0.02631578947368421,False,0.2084434302185923,13181,3471.0
120530411062,Hernando,2515,11,961,0.011446409989594173,False,0.1697889494901588,14004,2864.0
120530412011,Hernando,1257,0,466,0.0,True,0.0,12427,0.0
120530412012,Hernando,1426,0,490,0.0,True,0.0,11335,0.0
120530412013,Hernando,1596,56,678,0.08259587020648967,False,0.1231164502465106,12628,1773.0
120530412031,Hernando,1671,21,809,0.02595797280593325,False,0.2017399130043498,10644,2690.0
120530412032,Hernando,2513,30,880,0.03409090909090909,False,0.2115782711114283,11045,2964.0
120530412041,Hernando,1759,25,716,0.034916201117318434,False,0.3185773164402381,8928,4174.0
120530412042,Hernando,653,25,307,0.08143322475570032,True,0.0,9566,0.0
120530412043,Hernando,862,48,363,0.1322314049586777,True,0.0,10042,0.0
120530413021,Hernando,1581,0,634,0.0,False,0.1604642456008985,11212,2143.0
120530413022,Hernando,1842,45,825,0.05454545454545454,False,0.1740097588978186,11511,2425.0
120530413031,Hernando,715,0,427,0.0,True,0.0,8973,0.0
120530413032,Hernando,1017,0,569,0.0,True,0.0,10390,0.0
120530413033,Hernando,632,27,358,0.07541899441340782,True,0.0,9940,0.0
120530413041,Hernando,1823,115,972,0.1183127572016461,True,0.0,9260,0.0
120530413051,Hernando,747,0,448,0.0,True,0.0,8150,0.0
120530413052,Hernando,598,40,404,0.09900990099009901,True,0.0,9046,0.0
120530414011,Hernando,1450,48,574,0.08362369337979095,False,0.1423134917785596,11945,1982.0
120530414012,Hernando,1742,13,640,0.0203125,False,0.1497494539380701,13235,2331.0
120530414013,Hernando,2157,21,1000,0.021,True,0.0,9150,0.0
120530414021,Hernando,987,15,514,0.029182879377431907,True,0.0,10872,0.0
120530414022,Hernando,1995,0,706,0.0,True,0.0,12159,0.0
120530414023,Hernando,696,0,287,0.0,True,0.0,10631,0.0
120530414024,Hernando,1819,0,746,0.0,False,0.0341975035083831,13076,463.0
120530415011,Hernando,1947,31,871,0.03559127439724455,True,0.0,8098,0.0
120530415012,Hernando,1385,0,673,0.0,True,0.0,5960,0.0
120530415021,Hernando,1405,26,581,0.04475043029259897,False,0.2568055100032798,9064,3132.0
120530415022,Hernando,2130,34,922,0.0368763557483731,True,0.0,8584,0.0
120530416001,Hernando,1913,58,998,0.05811623246492986,True,0.0,5475,0.0
120530416002,Hernando,1761,14,914,0.015317286652078774,True,0.0,7996,0.0
120530416003,Hernando,1772,0,921,0.0,True,0.0,6912,0.0
120570001011,Hillsborough,2740,117,1129,0.10363153232949512,True,0.0,85354,0.0
120570001012,Hillsborough,1355,42,474,0.08860759493670886,True,0.0,86587,0.0
120570001021,Hillsborough,773,104,374,0.27807486631016043,False,0.6388563831904409,90733,160505.0
120570001022,Hillsborough,1553,36,491,0.07331975560081466,False,0.6354956829789431,91780,160014.0
120570001023,Hillsborough,1057,273,549,0.4972677595628415,False,0.566109220339605,94596,123422.0
120570001024,Hillsborough,2571,234,967,0.2419855222337125,False,0.604915732134402,92620,141811.0
120570002011,Hillsborough,2178,294,888,0.3310810810810811,False,0.2910946133767246,104560,42935.0
120570002012,Hillsborough,1631,114,530,0.21509433962264152,False,0.4273502467270364,108390,80888.0
120570002021,Hillsborough,1654,12,480,0.025,False,0.6127129492082556,98027,155085.0
120570002022,Hillsborough,2133,167,870,0.19195402298850575,False,0.5740793278910569,93079,125457.0
120570002023,Hillsborough,2072,99,578,0.17128027681660898,False,0.6155785040931687,88001,140917.0
120570003001,Hillsborough,1281,152,490,0.31020408163265306,False,0.5955341979891492,107651,158505.0
120570003002,Hillsborough,792,12,301,0.03986710963455149,False,0.6040257789113973,104635,159612.0
120570003003,Hillsborough,2035,38,520,0.07307692307692308,False,0.6120225959052639,100549,158613.0
