roadway,county,begin_post,end_post,length_mi,aadt,description,ksi_observed,ksi_spf,eb_weight,ksi_eb,vmt_period,r_per_pmt
15000311,Pinellas,0.606,1.06,0.454,4900,CENTRAL AVE SE,1,0.533,0.6074,0.716,5602655,0.201961
15000274,Pinellas,0.0,2.38,2.38,4600,31 ST S,1,2.684,0.2349,1.396,27572538,0.079975
15000475,Pinellas,0.0,0.659,0.659,2600,41 ST S,0,0.519,0.6134,0.319,4315198,0.121938
15000055,Pinellas,0.0,4.526,4.526,8200,INDIAN ROCKS BLVD,3,10.846,0.1180,3.926,93469594,0.061754
15000427,Pinellas,0.0,1.723,1.723,1400,LAKEFRONT DR,0,0.921,0.4724,0.435,6075126,0.118221
15003003,Pinellas,0.0,0.062,0.062,4800,I-175 / SR-594,0,0.066,0.9382,0.062,749506,0.135529
15000339,Pinellas,0.0,0.763,0.763,5100,130 AVE,0,0.918,0.4731,0.434,9800239,0.073184
15000036,Pinellas,0.0,0.127,0.127,5300,HIGHLAND AVE,0,0.157,0.8404,0.132,1695202,0.128158
15000036,Pinellas,0.127,2.391,2.264,7000,MILWAUKEE AVE,2,3.324,0.1987,2.263,39913188,0.086211
15000198,Pinellas,0.0,0.509,0.509,3400,VIRGINIA ST,2,0.475,0.6345,1.032,4358516,0.360119
15000320,Pinellas,2.713,3.745,1.032,5200,5 AVE S,4,1.166,0.4605,2.695,13515278,0.284580
15000473,Pinellas,0.0,0.894,0.894,3700,GSP WAREHOUSE ACCESS,0,1.125,0.5633,0.634,8330694,0.125622
15000271,Pinellas,0.0,0.496,0.496,5200,ULMERTON RD/SR -688,0,0.604,0.5771,0.349,6495715,0.088626
15000426,Pinellas,0.0,0.818,0.818,1500,LANSBROOK PKWY,0,0.457,0.6436,0.294,3090200,0.156993
15000516,Pinellas,0.0,0.76,0.76,1500,RIDGEMOOR BLVD,0,0.424,0.6603,0.280,2871090,0.161063
15010003,Pinellas,0.0,0.724,0.724,11000,US-19ALT/ SR-595 / T,1,2.201,0.3974,1.477,20057334,0.116352
15000401,Pinellas,0.0,0.716,0.716,31500,UNDERPASS 150257,2,5.099,0.2216,2.687,56802249,0.071916
15000118,Pinellas,0.0,1.544,1.544,8200,DUHME RD,1,3.700,0.2817,1.761,31886225,0.087239
15000438,Pinellas,0.0,1.706,1.706,21500,CR-611/EAST LAKE RD,1,6.831,0.1757,2.024,92376062,0.034620
15000510,Pinellas,0.0,0.682,0.682,4500,CR-1/STARKEY RD,0,0.858,0.6291,0.540,7729277,0.115345
15000083,Pinellas,0.0,1.38,1.38,3700,INDIAN ROCKS RD,1,1.358,0.3778,1.135,12859461,0.139458
15035005,Pinellas,0.059,0.189,0.13,3100,SR-686 WB,0,0.096,0.9123,0.087,1014956,0.142064
15000253,Pinellas,0.0,4.959,4.959,9000,PINELLAS POINT DR S,15,8.524,0.0882,14.429,112403174,0.151564
15000318,Pinellas,0.0,0.251,0.251,4600,US1-9/SR-55/34 ST S,0,0.283,0.7444,0.211,2907860,0.119660
15000471,Pinellas,0.0,1.115,1.115,5000,US-19,0,1.325,0.3835,0.508,14040638,0.059766
15000435,Pinellas,0.0,0.746,0.746,7900,EAST LAKE RD,1,1.182,0.4110,1.075,14842528,0.114387
15003001,Pinellas,0.0,0.057,0.057,9300,I-175/SR-594 EB,0,0.104,0.9052,0.094,1335057,0.116718
15035023,Pinellas,0.0,0.037,0.037,12000,RAMP,0,0.084,0.9225,0.077,1118214,0.113858
15000331,Pinellas,0.0,0.503,0.503,6400,PINELLAS POINT DR S,0,0.698,0.5415,0.378,8107555,0.076979
15000216,Pinellas,0.0,0.499,0.499,1550,US-19 / SR-55 / 34 S,0,0.284,0.7436,0.211,1947934,0.179184
15000068,Pinellas,0.0,1.6,1.6,14000,SR-60/MEMORIAL CSWY,0,3.630,0.1851,0.672,56414400,0.019662
15000498,Pinellas,0.0,0.488,0.488,4200,SR-60/GULF TO BAY BL,0,0.520,0.6133,0.319,5161918,0.101979
15030055,Pinellas,0.0,0.226,0.226,1600,SR688/ROOSEVELT BLVD,0,0.144,0.9095,0.131,910690,0.238014
15000185,Pinellas,0.0,1.59,1.59,21000,US-19 NB FRONTAGE RD,3,6.256,0.1887,3.615,84092715,0.063196
15000313,Pinellas,0.0,0.189,0.189,400,US-19 / SR-595 / BAY,0,0.046,0.9471,0.044,190399,0.377852
15000041,Pinellas,0.0,0.763,0.763,5400,NURSERY RD,0,0.952,0.4641,0.442,10376724,0.070290
15000041,Pinellas,0.763,0.875,0.112,5400,SANDRA DR,0,0.140,0.8551,0.119,1523189,0.129495
15000041,Pinellas,0.875,1.369,0.494,5400,JEFFORDS ST,2,0.616,0.5723,1.208,6718351,0.273418
15000041,Pinellas,1.369,4.897,3.528,11000,GULF TO BAY BLVD,15,6.879,0.1070,14.131,97737948,0.170705
15000288,Pinellas,0.161,0.807,0.646,18000,Bridge No-154355,1,2.268,0.3909,1.496,29285118,0.080688
15000463,Pinellas,0.0,0.163,0.163,4800,CR296/BRYAN DAIRY RD,0,0.253,0.8514,0.216,1970474,0.180681
15000061,Pinellas,0.0,1.071,1.071,5000,S BELCHER RD,0,1.273,0.3931,0.500,13486568,0.061256
15000453,Pinellas,0.0,0.185,0.185,12000,49 ST N,1,0.481,0.7516,0.610,5591070,0.172374
15000509,Pinellas,0.0,0.614,0.614,4300,C576/SUNSET POINT RD,0,0.664,0.5539,0.368,6649344,0.091311
15010001,Pinellas,0.038,0.84,0.802,11000,13 AVE N,0,2.438,0.3732,0.910,22218207,0.067607
15000410,Pinellas,0.0,0.504,0.504,3800,71 ST N,0,0.504,0.6205,0.313,4823431,0.107096
15000033,Pinellas,0.0,1.046,1.046,14500,PALMETTO ST,5,2.426,0.2536,4.347,38198090,0.158164
15000489,Pinellas,0.0,0.351,0.351,8500,ENTERPRISE RD E,0,0.582,0.5861,0.341,7513945,0.074974
15000319,Pinellas,0.0,0.666,0.666,16500,8 ST S,1,1.675,0.3298,1.223,27675796,0.069795
15030056,Pinellas,0.0,0.078,0.078,1200,SR-688/ULMERTON RD,0,0.039,0.9735,0.038,235732,0.269127
15000143,Pinellas,0.0,0.538,0.538,1950,TRADE WINDS DR S,0,0.354,0.6996,0.248,2642158,0.154774
15000143,Pinellas,0.538,2.208,1.67,24500,24 AVE S,6,7.365,0.1650,6.225,103044428,0.081989
15000284,Pinellas,0.0,1.253,1.253,1950,S FLORIDA AVE,0,0.825,0.4999,0.412,6153577,0.110610
15000282,Pinellas,0.0,2.912,2.912,8500,ENTERPRISE RD E,2,4.829,0.1458,2.413,62337912,0.058844
15000467,Pinellas,0.0,1.062,1.062,1200,S GULVIEW BLVD,2,0.537,0.7298,0.933,3209576,0.441794
15000450,Pinellas,0.0,0.526,0.526,1000,BRIDGE #155522,0,0.230,0.8634,0.198,1324731,0.247128
15000511,Pinellas,0.0,0.615,0.615,4600,END OF PAVEMENT,0,0.787,0.6492,0.511,7124836,0.118351
15000405,Pinellas,0.0,0.863,0.863,3800,TO FRONTAGE RD,0,0.863,0.4885,0.422,8259169,0.084306
15000495,Pinellas,0.0,1.288,1.288,4900,FEATHER SOUND DR,0,1.511,0.3529,0.533,15894757,0.055414
15000215,Pinellas,0.0,0.755,0.755,3700,SR-688/ WAISINGHAM R,0,0.743,0.5260,0.391,7035430,0.091699
15000137,Pinellas,1.09,1.185,0.095,700,N/A,0,0.033,0.9617,0.032,167480,0.311519
15000262,Pinellas,0.0,1.7,1.7,5100,US-19 NB FRONTAGE RD,1,2.046,0.2872,1.300,21835395,0.094087
15000052,Pinellas,0.0,0.5,0.5,13000,SR-60/COURT ST,0,1.380,0.5134,0.708,16370250,0.071443
15035022,Pinellas,0.0,0.013,0.013,12000,SR-686,0,0.029,0.9713,0.029,392886,0.119881
15000250,Pinellas,0.0,0.252,0.252,2600,5 AVE N,0,0.238,0.8589,0.205,1650121,0.204884
15000407,Pinellas,0.0,1.053,1.053,2500,38 AVE N,1,0.810,0.5044,0.904,6629951,0.215446
15000034,Pinellas,0.0,1.66,1.66,4000,SUNSET POINT RD,0,1.715,0.3246,0.557,16722840,0.054972
15000087,Pinellas,0.0,4.281,4.281,5100,74 AVE N,2,5.911,0.1976,2.773,54986662,0.076672
15000429,Pinellas,0.0,1.1,1.1,1200,PINELLAS AVE,0,0.534,0.6070,0.324,3324420,0.160898
15000519,Pinellas,0.0,0.173,0.173,1800,LINN HARBOR CT,0,0.081,0.9246,0.075,784261,0.158073
15000220,Pinellas,0.0,0.09,0.09,17000,US-19/SR-595/5 AVE N,1,0.231,0.7814,0.399,3853305,0.163524
15000400,Pinellas,0.0,0.994,0.994,4500,66 ST N,0,1.106,0.4271,0.472,11265250,0.069222
15000031,Pinellas,0.0,1.895,1.895,6000,SUNSET POINT DR,2,2.525,0.2461,2.129,28635345,0.113062
15000488,Pinellas,0.0,0.181,0.181,2200,CR-611/E LAKE RD S,0,0.128,0.8652,0.111,1002867,0.183009
15000205,Pinellas,0.0,0.921,0.921,28000,RR CROSS# 918637-G,5,4.484,0.2451,4.873,64947078,0.104287
15000323,Pinellas,0.0,0.797,0.797,2000,77 AVE N,2,0.533,0.6074,1.109,4014489,0.419990
15000462,Pinellas,0.0,0.395,0.395,1300,GULF BLVD,0,0.213,0.8719,0.186,1293250,0.237380
15000100,Pinellas,0.0,2.588,2.588,5600,66 ST,3,4.555,0.2416,3.376,36500117,0.135975
15000436,Pinellas,0.0,0.39,0.39,2150,RIDGELINE BLVD,0,0.273,0.7513,0.205,2111762,0.160292
15000506,Pinellas,0.0,0.598,0.598,6700,CUTTY BAY CT,0,1.217,0.5439,0.662,10090622,0.108312
15000076,Pinellas,0.0,1.0,1.0,3100,INDIAN ROCKS RD,3,0.880,0.4836,1.975,7807350,0.371916
15000314,Pinellas,0.0,1.263,1.263,6100,21 AVE NE,1,1.701,0.3265,1.229,19403280,0.100050
15000314,Pinellas,1.263,1.625,0.362,9900,BEACH DR,0,0.661,0.5551,0.367,9025800,0.067091
15030101,Pinellas,0.0,0.125,0.125,9500,AVENTURA AT BAY PLAC,1,0.337,0.8114,0.462,2990719,0.244280
15000032,Pinellas,0.0,0.501,0.501,1000,PINELLAS POINT DR S,0,0.217,0.7918,0.172,1261768,0.224606
15000482,Pinellas,0.0,0.354,0.354,12000,DRIFTWOOD DR W,0,0.729,0.5307,0.387,10698588,0.059708
15000075,Pinellas,0.0,2.4,2.4,900,INDIAN ROCKS RD,1,0.972,0.4589,0.987,5439960,0.286684
15000433,Pinellas,0.0,3.002,3.002,2100,118 ST,1,2.070,0.2849,1.305,15877128,0.129824
15000191,Pinellas,0.0,0.175,0.175,1200,CR-611 SB,0,0.089,0.9425,0.083,528885,0.260550
15000464,Pinellas,0.0,0.386,0.386,4800,SR-693/66 ST N,0,0.600,0.7076,0.424,4666277,0.150160
15000098,Pinellas,0.0,0.389,0.389,10300,94 AVE N,3,0.904,0.6170,1.706,10090874,0.248625
15000292,Pinellas,0.0,0.854,0.854,1300,US-19A/BAYSHORE BLVD,0,0.436,0.6542,0.285,2796039,0.168322
15000292,Pinellas,0.854,1.166,0.312,800,PATRICIA AVE,0,0.117,0.8754,0.103,628618,0.269821
15035004,Pinellas,0.0,0.5,0.5,11500,I-275 SB RP 15190030,0,1.090,0.4773,0.520,14481375,0.059336
15010302,Pinellas,0.0,0.323,0.323,13500,SR-666/T STUART CSWY,0,1.159,0.5561,0.644,10981919,0.096875
15000413,Pinellas,0.0,1.029,1.029,4600,86 AVE N,0,1.161,0.4153,0.482,11921068,0.066761
15000054,Pinellas,0.0,1.01,1.01,6400,PINELLAS POINT DR,0,1.402,0.3703,0.519,16279584,0.052647
15000497,Pinellas,0.0,0.387,0.387,2300,N JASMINE AVE,0,0.296,0.8308,0.246,2241717,0.181385
15000485,Pinellas,0.0,0.505,0.505,2600,N HERCULES AVE,0,0.424,0.7746,0.328,3306790,0.163810
15000091,Pinellas,0.0,2.172,2.172,3400,90 AVENUE,1,2.026,0.2892,1.297,18598619,0.110158
15000442,Pinellas,0.0,1.69,1.69,350,E LAKE WOODLANDS PKY,0,0.378,0.6855,0.259,1489693,0.287393
15000508,Pinellas,0.0,0.511,0.511,7900,RIDGEMOOR BLVD,0,0.809,0.5046,0.408,10166933,0.066326
15010002,Pinellas,0.0,0.573,0.573,11000,18 AVE N,0,1.742,0.4545,0.792,15874105,0.082344
15000402,Pinellas,0.0,1.509,1.509,4700,PARK BLVD,0,1.725,0.3233,0.558,17861958,0.051564
15035017,Pinellas,0.0,0.32,0.32,1600,RAMP,0,0.136,0.8796,0.120,1289472,0.153460
15010004,Pinellas,0.0,1.652,1.652,11000,80 ST N,0,5.021,0.2242,1.126,45766182,0.040621
15000190,Pinellas,0.0,0.195,0.195,1200,SR-60 EB,0,0.065,0.9383,0.061,589329,0.171997
15000304,Pinellas,0.0,0.747,0.747,4200,66 ST N,0,0.796,0.5088,0.405,7901542,0.084612
15000097,Pinellas,0.0,2.675,2.675,1700,PARK BLVD,2,1.615,0.3379,1.870,11452879,0.248247
15000281,Pinellas,0.0,1.192,1.192,5500,COUNTRYSIDE BLVD,1,1.504,0.3540,1.178,16511286,0.112762
15000430,Pinellas,0.0,0.83,0.83,600,BEG OF PAVEMENT,0,0.235,0.8609,0.202,1254213,0.266554
15000411,Pinellas,0.2,0.807,0.607,3700,34 ST N,0,0.597,0.5799,0.346,5656299,0.101091
15000499,Pinellas,0.0,1.003,1.003,4900,SR-688/ULMERTON RD,0,1.177,0.4119,0.485,12377672,0.064674
15000325,Pinellas,0.0,0.188,0.188,60000,15241001 WB ON,0,1.610,0.3820,0.615,28408680,0.035759
15000481,Pinellas,0.0,1.01,1.01,3700,MICHAELS CIR,0,1.271,0.5331,0.678,9411634,0.118885
15000119,Pinellas,0.0,4.618,4.618,20000,BELCHER RD,22,13.105,0.0592,21.474,232608660,0.102664
15000298,Pinellas,0.0,2.307,2.307,2200,CR-611/EAST LAKE RD,2,1.638,0.3348,1.879,12782395,0.223467
15000439,Pinellas,0.0,0.598,0.598,3000,TARPON LAKE BLVD,0,0.516,0.6152,0.317,4518189,0.115939
15000512,Pinellas,0.0,0.714,0.714,6700,MAPLELEAF BLVD,0,1.453,0.4997,0.726,12048000,0.099509
15000165,Pinellas,0.0,1.73,1.73,21000,16 ST N,7,5.062,0.1400,6.729,91497105,0.097683
15000302,Pinellas,0.0,1.058,1.058,7200,FRONTAGE RD SB,1,1.581,0.3427,1.199,19184926,0.098747
15000124,Pinellas,0.0,2.967,2.967,300,49 ST S,1,0.503,0.7430,0.631,2241717,0.444700
15000270,Pinellas,0.0,1.115,1.115,1800,USALT19/PINELLAS AVE,0,0.698,0.5416,0.378,5054630,0.123446
15000066,Pinellas,0.0,4.047,4.047,11000,SR-686/EAST BAY DR,7,7.891,0.0946,7.084,112116064,0.083931
15000448,Pinellas,0.0,0.075,0.075,31500,PIER 60 2ND CROSSWAL,0,0.534,0.7310,0.390,5949956,0.108346
15000448,Pinellas,0.075,0.212,0.137,31500,N/A,0,0.976,0.5980,0.583,10868587,0.088635
15003004,Pinellas,0.0,0.097,0.097,5200,6 ST S,0,0.110,0.9008,0.099,1270331,0.128351
15035018,Pinellas,0.0,0.225,0.225,12000,RAMP,0,0.508,0.6620,0.336,6799950,0.081704
15000251,Pinellas,0.0,1.17,1.17,4100,CENTRAL PARK DR,1,1.228,0.4017,1.091,12081244,0.142732
15000334,Pinellas,0.0,0.38,0.38,5600,MCMULLEN RD,0,0.485,0.6296,0.305,5359368,0.094068
15000203,Pinellas,0.0,0.25,0.25,2050,US-19A/SR-595,0,0.176,0.8922,0.157,1290731,0.200705
15000272,Pinellas,2.966,4.032,1.066,6200,15150400 FRNT RD SB,2,1.701,0.4612,1.862,16645270,0.170082
15035006,Pinellas,0.0,0.23,0.23,2100,118 AVE N,1,0.123,0.8903,0.219,1216436,0.284305
15000415,Pinellas,0.0,0.521,0.521,1750,SR-694/PARK BLVD,0,0.320,0.7202,0.231,2296242,0.165880
15000051,Pinellas,0.0,2.098,2.098,5800,GULF TO BAY BLVD,1,2.737,0.2315,1.402,30646115,0.072281
15000494,Pinellas,0.0,0.557,0.557,4200,SR-60/GULF TO BAY BL,0,0.527,0.6537,0.345,5891779,0.096621
15030102,Pinellas,0.0,0.108,0.108,12000,N FRONTAGE RD,0,0.352,0.8047,0.283,3263976,0.143381
15000491,Pinellas,0.0,0.857,0.857,4500,UNSIGNED,0,0.953,0.4637,0.442,9712595,0.075156
15000255,Pinellas,0.0,2.067,2.067,6800,SR-688 / ULMERTON RD,4,2.980,0.2167,3.779,35399029,0.152350
15000477,Pinellas,0.0,1.22,1.22,3300,RACETRACK RD,0,1.117,0.4246,0.474,10139481,0.077240
15000125,Pinellas,0.0,1.416,1.416,1000,PALM BLVD,1,0.613,0.5737,0.778,3566196,0.344581
15000300,Pinellas,0.0,0.253,0.253,4300,UNNAMED RD,0,0.274,0.7509,0.205,2739876,0.123771
15000431,Pinellas,0.0,0.221,0.221,2800,74 AVE N,0,0.183,0.8187,0.149,1558448,0.158321
15003002,Pinellas,0.0,0.122,0.122,6300,MLK ST S SB,0,0.162,0.8603,0.139,1935719,0.118608
15000332,Pinellas,0.0,0.421,0.421,1000,DEMARET DR,0,0.182,0.8190,0.149,1060288,0.232330
15000493,Pinellas,0.0,0.552,0.552,6700,CR-611/MCMULLEN B RD,0,1.123,0.5637,0.633,9314420,0.112250
15000217,Pinellas,0.0,0.653,0.653,10900,5 AV S,0,1.266,0.3944,0.499,17925927,0.045987
15000217,Pinellas,0.653,0.781,0.128,17000,20 ST S,0,0.328,0.7154,0.235,5480256,0.070698
15000020,Pinellas,0.0,1.928,1.928,3000,BAYSHORE BLVD,1,1.797,0.4475,1.357,14567004,0.147159
15000290,Pinellas,0.0,0.559,0.559,3900,CR-501/BELCHER RD,0,0.568,0.5919,0.336,5490582,0.101176
15000122,Pinellas,0.0,1.899,1.899,13000,49 ST,2,6.607,0.1801,2.830,62174210,0.069203
15000428,Pinellas,0.0,0.217,0.217,350,LIVE OAK ST,0,0.026,0.9743,0.026,191280,0.220693
15000412,Pinellas,0.0,0.754,0.754,5600,98 ST N,0,0.962,0.4614,0.444,10634114,0.068938
15000022,Pinellas,0.0,0.933,0.933,2000,BAYSHORE BLVD,0,0.624,0.5692,0.355,4699521,0.124762
15000310,Pinellas,0.0,0.12,0.12,2900,50 AVE N,0,0.101,0.8906,0.090,876438,0.169975
15000277,Pinellas,0.0,0.696,0.696,1650,SOLON AVE,0,0.412,0.6666,0.275,2892245,0.156929
15000466,Pinellas,0.0,0.189,0.189,4800,SR-693/66 ST N,0,0.294,0.8317,0.244,2284783,0.176498
15000056,Pinellas,0.085,1.322,1.237,7100,94 AVE N,0,1.832,0.3103,0.569,22119230,0.042442
15002001,Pinellas,0.0,0.078,0.078,3200,US-19A / SR-595,0,0.059,0.9441,0.056,628618,0.146217
15035024,Pinellas,0.0,0.047,0.047,12000,RAMP,0,0.153,0.9045,0.139,1420434,0.161157
15000219,Pinellas,0.0,0.507,0.507,6400,62 AV S,0,0.704,0.5395,0.380,8172029,0.076699
15000507,Pinellas,0.0,1.138,1.138,18500,CR-584A/NEBRASKA AVE,0,3.075,0.2114,0.650,53021980,0.020245
15000406,Pinellas,0.0,1.026,1.026,6800,EB CR-296/118 AVE N,0,1.479,0.3579,0.529,17571071,0.049742
15000047,Pinellas,0.0,1.328,1.328,8000,DREW ST,6,2.120,0.2800,4.914,26756544,0.249232
15000474,Pinellas,0.0,1.31,1.31,10600,SR-679/PINELLAS BAYW,0,3.864,0.2730,1.055,34971891,0.049814
15000057,Pinellas,0.252,0.428,0.176,1800,RIVO PL,0,0.110,0.8821,0.097,797861,0.201069
15002003,Pinellas,0.0,0.118,0.118,3400,8 ST N,0,0.094,0.9139,0.086,1010422,0.140075
15010053,Pinellas,0.0,0.487,0.487,1700,US-19A/SEMINOLE BLVD,0,0.327,0.8163,0.267,2085066,0.211152
15000258,Pinellas,0.0,1.636,1.636,7600,SR-693 / 66 ST,2,2.529,0.2458,2.130,31314022,0.103427
15000340,Pinellas,0.0,1.224,1.224,7200,58 ST N,0,1.829,0.3107,0.568,22195037,0.042274
15000035,Pinellas,0.0,1.046,1.046,1600,UNION ST,0,0.608,0.5756,0.350,4214962,0.137067
15190037,Pinellas,0.0,0.223,0.223,9700,CR-184 / 38 AVE N,0,0.422,0.7021,0.297,5447767,0.089881
15150013,Pinellas,0.0,0.1,0.1,7200,CR-611/49 ST SB,0,0.148,0.8706,0.129,1813320,0.117302
15190000,Pinellas,0.5,2.555,2.055,102000,Bridge No-150183,8,16.220,0.0484,8.398,527902785,0.020722
15190000,Pinellas,13.785,14.379,0.594,172000,N/A,8,12.173,0.0756,8.315,257310108,0.042098
15110500,Pinellas,0.0,2.627,2.627,2100,CR-138/GULFPORT BLVD,3,1.811,0.3128,2.628,13893809,0.278100
15230000,Pinellas,0.0,0.606,0.606,26000,PARK ST,3,3.695,0.2820,3.196,39681486,0.118412
15150701,Pinellas,0.0,0.329,0.329,4200,DREW ST,0,0.350,0.7017,0.246,3480063,0.116681
15150000,Pinellas,13.578,14.411,0.833,91500,N/A,0,14.059,0.0936,1.316,191958811,0.011316
15150000,Pinellas,19.845,20.417,0.572,110000,Bridge No-150248,4,8.095,0.1095,4.448,158464020,0.040063
08000059,Hernando,0.0,0.525,0.525,1900,HUNTERS LAKE RD,0,0.258,0.7944,0.205,2512204,0.134554
15190041,Pinellas,0.0,0.186,0.186,6500,22 ST N,0,0.253,0.7974,0.202,3044866,0.109350
15120000,Pinellas,10.566,10.613,0.047,68500,N/A,0,0.628,0.6981,0.438,8108311,0.089221
15506000,Pinellas,0.0,2.382,2.382,5000,US ALT 19,3,2.831,0.2255,2.962,29995335,0.145178
15090001,Pinellas,0.0,0.13,0.13,15500,US-92/SR-687,0,0.522,0.7357,0.384,5074778,0.124830
15090001,Pinellas,0.13,0.218,0.088,6880,100 AV N,1,0.183,0.8880,0.274,1524801,0.284343
15240050,Pinellas,0.0,0.276,0.276,15000,SR-694 / GANDY BLVD,0,0.750,0.5703,0.428,10426590,0.067741
15150304,Pinellas,0.0,0.029,0.029,1600,US-19 / SR-55,0,0.019,0.9874,0.018,116858,0.258388
08000023,Hernando,0.0,0.656,0.656,1200,CANDLELIGHT BLVD,0,0.318,0.7215,0.230,1982563,0.191231
15190009,Pinellas,0.0,0.167,0.167,5500,26 AVE S,0,0.198,0.8343,0.165,2313242,0.117736
15070000,Pinellas,0.0,0.602,0.602,3600,BROADWAY,1,0.582,0.5861,0.755,5458093,0.218567
15070000,Pinellas,0.602,1.028,0.426,11900,BASS BLVD,1,1.101,0.5693,1.058,12767284,0.130863
15070000,Pinellas,1.028,1.283,0.255,27000,N/A,1,1.208,0.5464,1.114,17339872,0.101490
15070000,Pinellas,1.283,1.782,0.499,27500,CROSLEY DR,1,2.397,0.3778,1.528,34560116,0.069844
15070000,Pinellas,2.797,3.34,0.543,45000,N/A,0,3.755,0.2793,1.049,61539547,0.028146
15070000,Pinellas,3.34,4.136,0.796,36000,US-19/SR-55,7,6.315,0.1869,6.872,72170136,0.126481
15070000,Pinellas,6.153,7.37,1.217,35500,SR-590/PHILIPPE PKWY,0,9.547,0.1320,1.260,108808015,0.019118
15240000,Pinellas,0.66,1.56,0.9,70500,N/A,3,8.811,0.1015,3.590,159798825,0.033029
15240000,Pinellas,3.33,3.376,0.046,37500,15241200 S FRNT RD,1,0.377,0.7937,0.506,4344412,0.183900
15240000,Pinellas,3.376,5.76,2.384,28500,15241100 N FRNT RD,5,15.656,0.0848,5.904,171116964,0.047952
15240000,Pinellas,5.76,5.883,0.123,4800,N/A,0,0.130,0.8844,0.115,1486922,0.127762
15150106,Pinellas,0.0,0.043,0.043,3100,SR-55 NB FRONTAGE RD,0,0.032,0.9692,0.031,335716,0.150924
15045000,Pinellas,0.0,0.606,0.606,36500,CSWY PARKING ENTR,0,4.862,0.2299,1.118,55706702,0.033129
15045000,Pinellas,1.402,1.697,0.295,29500,SR-60 WB/COURT ST,4,1.992,0.4215,3.154,21917246,0.205357
08000061,Hernando,0.0,0.457,0.457,1900,US-41/N BROAD ST,0,0.335,0.8123,0.272,2186814,0.205707
15190053,Pinellas,0.0,0.207,0.207,15000,I-275 / SR-93,0,0.563,0.6390,0.359,7819942,0.075893
15517000,Pinellas,2.082,3.551,1.469,65500,CR-576/MAIN ST,11,18.917,0.0713,11.564,242328811,0.059195
15517000,Pinellas,3.551,4.332,0.781,68000,CR-638/ENTERPRISE RD,5,10.367,0.1228,5.659,133752498,0.058803
08000009,Hernando,11.546,12.464,0.918,16500,N/A,1,3.022,0.3251,1.657,38147720,0.068636
15501000,Pinellas,4.043,5.976,1.933,18000,N/A,7,6.786,0.1766,6.962,87628689,0.105535
15150207,Pinellas,0.0,0.022,0.022,1600,FRONTAGE RD SB,0,0.009,0.9907,0.009,88651,0.172835
15050005,Pinellas,0.0,1.252,1.252,14500,15150031 NB FRNT RD,0,3.745,0.2799,1.048,45720849,0.037856
15050005,Pinellas,1.252,2.41,1.158,6400,CR-611/MCMULLEN BOOT,0,1.891,0.4349,0.823,18665107,0.072765
15050005,Pinellas,2.41,4.629,2.219,8500,DELAWARE ST,0,4.471,0.2456,1.098,47502688,0.038170
15050005,Pinellas,4.629,5.978,1.349,10000,CR-638/ENTERPRISE RD,0,3.065,0.3220,0.987,33974565,0.047966
15200001,Pinellas,2.97,3.29,0.32,39500,DOLPHIN CAY LN S,1,2.737,0.3465,1.602,31833840,0.079500
15200001,Pinellas,3.29,3.721,0.431,20000,41 ST S,0,2.125,0.4058,0.862,21709470,0.065591
15150004,Pinellas,0.0,0.162,0.162,13500,SR-694/PARK BLVD,1,0.581,0.7141,0.701,5507960,0.201049
15540000,Pinellas,0.0,0.249,0.249,30500,US-19 / 34 TH ST N,3,1.291,0.5299,2.095,19126748,0.161009
15200000,Pinellas,0.0,0.195,0.195,4700,SPUR,0,0.253,0.8517,0.216,2308205,0.154413
15200000,Pinellas,0.195,3.414,3.219,3600,N/A,4,3.435,0.2977,3.832,29185385,0.187367
15200000,Pinellas,3.414,5.144,1.73,5800,ANDERSON BLVD,1,2.627,0.3565,1.580,25270629,0.098786
15200000,Pinellas,5.144,8.366,3.222,16500,Bridge No-150243,0,10.606,0.1207,1.280,133891015,0.015784
15200000,Pinellas,8.366,9.96,1.594,16500,1 ST,1,5.247,0.2172,1.922,66239069,0.045850
15150010,Pinellas,0.0,0.094,0.094,6700,CR-611 / 49 ST,0,0.131,0.8837,0.116,1586151,0.120546
08000038,Hernando,0.0,1.505,1.505,5500,SORREL ST,1,2.197,0.3985,1.477,20846884,0.111943
15190027,Pinellas,0.0,0.153,0.153,9300,I-275 / SR-93,1,0.280,0.7806,0.438,3583574,0.193039
15140501,Pinellas,3.646,4.016,0.37,1200,15000007 SB ON,0,0.187,0.8857,0.166,1118214,0.244860
15100000,Pinellas,0.0,0.111,0.111,10600,W MARITANA DR,0,0.211,0.7959,0.168,2963267,0.093771
15100000,Pinellas,7.289,7.955,0.666,19900,140 AVE,3,3.271,0.3074,3.083,33378688,0.135803
15100000,Pinellas,7.955,9.354,1.399,29000,N/A,1,6.990,0.1724,2.032,102178063,0.031425
15150101,Pinellas,0.0,0.039,0.039,3100,US-19/SR-55 NB,0,0.029,0.9720,0.028,304487,0.151358
08000013,Hernando,0.0,1.423,1.423,5200,SR-50/CORTEZ BLVD,1,1.733,0.3223,1.236,18635893,0.104816
08000013,Hernando,3.193,4.6,1.407,1800,CR-485/COBB RD,0,0.988,0.5949,0.588,6378353,0.152210
08000013,Hernando,4.6,5.81,1.21,1300,PONCE DE LEON /US-98,0,0.617,0.5718,0.353,3961600,0.147117
