roadway,county,begin_post,end_post,length_mi,aadt,description,ksi_observed,ksi_spf,eb_weight,ksi_eb,vmt_period,r_per_pmt
10250000,Hillsborough,8.177,8.616,0.439,9300,N/A,0,0.945,0.6062,0.573,10282280,0.092040
10250000,Hillsborough,7.154,7.447,0.293,14000,CR-574/7 AVE,1,1.082,0.5728,1.047,10330887,0.236221
10000063,Hillsborough,0.0,1.18,1.18,3500,N HOWARD AVE,1,1.121,0.4237,1.051,10401405,0.159684
08550000,Hernando,3.889,8.693,4.804,2600,CR-581/EMERSON RD,1,4.029,0.2654,1.804,31457072,0.133626
10000619,Hillsborough,0.0,0.339,0.339,12300,19 AVE,3,0.898,0.6185,1.700,10501389,0.340759
10040000,Hillsborough,4.996,5.17,0.174,24000,E BIRD ST,1,0.994,0.5934,0.997,10517256,0.220822
10000090,Hillsborough,3.753,5.829,2.076,4100,REPUBLICA DE CUBA,2,2.439,0.3738,2.164,21436465,0.222931
15010000,Pinellas,5.948,6.068,0.12,35500,22 AV N,4,0.941,0.6066,2.145,10728810,0.285288
15180503,Pinellas,0.0,1.957,1.957,13100,SR-693/PASADENA AVE,14,5.431,0.2114,12.189,64566029,0.485056
10040000,Hillsborough,7.199,8.207,1.008,25500,W FOWLER AVE,6,6.050,0.1935,6.010,64735524,0.173880
15010303,Pinellas,0.0,0.323,0.323,13500,US-19A/SR-595,2,1.159,0.5561,1.532,10981919,0.308107
15035002,Pinellas,0.0,0.382,0.382,11500,RP 15190029,1,0.833,0.5444,0.909,11063770,0.129818
10260000,Hillsborough,3.681,4.597,0.916,14500,JEFFERSON RD,4,3.482,0.2942,3.847,33450717,0.231963
15010102,Pinellas,0.0,0.423,0.423,10500,CR-666 / TOM STUART,0,1.238,0.5396,0.668,11185918,0.098629
08050000,Hernando,10.982,11.725,0.743,12000,E DR MLK JR BLVD,0,2.423,0.3746,0.908,22454946,0.066744
15120000,Pinellas,10.613,11.472,0.859,37500,UNSIGNED,17,7.044,0.1708,15.299,81127181,0.275929
14000074,Pasco,0.0,1.247,1.247,3700,CR77/REGENCY PARK BL,3,1.227,0.4019,2.287,11620107,0.289404
14000160,Pasco,0.0,2.256,2.256,2050,GREEN SLOPE DR,2,1.532,0.3499,1.836,11647559,0.239704
10075365,Hillsborough,0.0,0.311,0.311,15000,I-75 SB/SR-93A,2,0.845,0.5409,1.375,11748802,0.258521
